0,224.119531
0.5,223.919531
1,223.719531
1.5,223.919531
2,224.119531
2.5,223.919531
3,223.719531
3.5,223.519531
4,223.719531
4.5,223.519531
5,223.719531
5.5,223.919531
6,224.119531
6.5,223.919531
7,224.119531
7.5,224.319531
8,224.119531
8.5,223.919531
9,224.119531
9.5,224.319531
10,224.119531
10.5,224.319531
11,224.119531
11.5,224.0581425
12,223.8581425
12.5,223.6581425
13,223.8581425
13.5,223.6581425
14,223.8581425
14.5,224.0581425
15,223.9966512
15.5,224.1966512
16,224.3966512
16.5,224.5966512
17,224.3966512
17.5,224.5966512
18,224.7966512
18.5,224.5966512
19,224.7966512
19.5,224.7080133
20,224.9080133
20.5,224.7080133
21,224.9080133
21.5,225.1080133
22,225.3080133
22.5,225.5080133
23,225.7080133
23.5,225.9080133
24,226.1080133
24.5,225.9080133
25,226.1080133
25.5,226.3080133
26,226.5080133
26.5,226.7080133
27,226.5080133
27.5,226.7080133
28,226.9080133
28.5,226.7080133
29,226.5080133
29.5,226.7080133
30,226.5080133
30.5,226.7080133
31,226.9080133
31.5,226.7080133
32,226.5080133
32.5,226.7080133
33,226.9080133
33.5,227.1080133
34,227.3080133
34.5,227.5080133
35,227.3080133
35.5,227.1080133
36,227.3080133
36.5,227.5080133
37,227.7080133
37.5,227.9080133
38,227.9818104
38.5,228.1818104
39,228.3818104
39.5,228.2764995
40,228.4764995
40.5,228.2764995
41,228.4764995
41.5,228.6764995
42,228.8764995
42.5,229.0764995
43,229.2764995
43.5,229.4764995
44,229.2764995
44.5,229.4764995
45,229.2764995
45.5,229.0764995
46,229.2764995
46.5,229.0764995
47,229.2764995
47.5,229.4467105
48,229.6467105
48.5,229.8467105
49,230.0467105
49.5,229.8467105
50,230.0467105
50.5,230.1733737
51,230.3733737
51.5,230.5733737
52,230.3733737
52.5,230.5733737
53,230.7733737
53.5,230.5733737
54,230.7733737
54.5,230.9733737
55,231.1733737
55.5,231.3733737
56,231.5733737
56.5,231.3733737
57,231.5733737
57.5,231.3733737
58,231.1733737
58.5,230.9733737
59,230.7733737
59.5,230.9733737
60,231.1733737
60.5,231.3733737
61,231.5733737
61.5,231.3733737
62,231.1733737
62.5,230.9733737
63,231.1733737
63.5,230.9733737
64,231.1733737
64.5,231.3733737
65,231.1733737
65.5,231.3733737
66,231.1733737
66.5,231.3733737
67,231.5733737
67.5,231.7733737
68,231.9733737
68.5,232.1001818
69,232.3001818
69.5,232.1001818
70,232.2808574
70.5,232.4808574
71,232.6808574
71.5,232.4808574
72,232.2808574
72.5,232.0808574
73,232.2808574
73.5,232.4808574
74,232.2808574
74.5,232.4808574
75,232.6808574
75.5,232.4808574
76,232.6808574
76.5,232.4808574
77,232.4438094
77.5,232.6438094
78,232.8438094
78.5,233.0438094
79,233.2438094
79.5,233.4438094
80,233.2438094
80.5,233.4438094
81,233.6438094
81.5,233.8438094
82,233.6438094
82.5,233.8438094
83,234.0438094
83.5,233.8438094
84,233.9396918
84.5,234.1396918
85,234.3396918
85.5,234.5396918
86,234.7396918
86.5,234.9396918
87,235.1396918
87.5,234.9396918
88,235.1396918
88.5,235.3396918
89,235.5396918
89.5,235.6169145
90,235.8169145
90.5,236.0169145
91,235.8169145
91.5,235.6169145
92,235.4169145
92.5,235.2202454
93,235.4202454
93.5,235.2202454
94,235.4202454
94.5,235.2202454
95,235.0202454
95.5,234.8202454
96,235.0202454
96.5,235.2202454
97,235.4202454
97.5,235.6202454
98,235.8202454
98.5,236.0202454
99,235.8202454
99.5,236.0202454
100,236.2202454
100.5,236.4202454
101,236.6202454
101.5,236.4202454
102,236.6202454
102.5,236.8202454
103,236.6202454
103.5,236.4202454
104,236.6202454
104.5,236.4202454
105,236.6202454
105.5,236.8202454
106,237.0202454
106.5,236.8202454
107,236.6202454
107.5,236.4202454
108,236.4690765
108.5,236.6690765
109,236.4690765
109.5,236.2690765
110,236.4690765
110.5,236.6690765
111,236.7433283
111.5,236.5433283
112,236.7433283
112.5,236.9433283
113,236.7433283
113.5,236.5433283
114,236.3433283
114.5,236.5433283
115,236.7433283
115.5,236.9433283
116,236.7433283
116.5,236.5433283
117,236.65415
117.5,236.85415
118,236.65415
118.5,236.85415
119,236.65415
119.5,236.85415
120,237.05415
120.5,237.25415
121,237.45415
121.5,237.65415
122,237.45415
122.5,237.25415
123,237.45415
123.5,237.25415
124,237.45415
124.5,237.25415
125,237.45415
125.5,237.65415
126,237.45415
126.5,237.65415
127,237.85415
127.5,238.05415
128,238.1626324
128.5,238.3626324
129,238.5626324
129.5,238.7626324
130,238.5626324
130.5,238.3626324
131,238.5626324
131.5,238.3626324
132,238.1626324
132.5,238.3626324
133,238.5626324
133.5,238.7626324
134,238.5626324
134.5,238.7626324
135,238.9626324
135.5,239.1626324
136,239.3626324
136.5,239.5626324
137,239.3626324
137.5,239.5626324
138,239.3626324
138.5,239.4806859
139,239.6806859
139.5,239.8806859
140,240.0806859
140.5,240.2806859
141,240.4806859
141.5,240.2806859
142,240.0806859
142.5,240.2806859
143,240.4806859
143.5,240.6806859
144,240.8806859
144.5,240.8021968
145,241.0021968
145.5,241.2021968
146,241.4021968
146.5,241.6021968
147,241.8021968
147.5,242.0021968
148,242.2021968
148.5,242.4021968
149,242.6021968
149.5,242.8021968
150,243.0021968
150.5,243.2021968
151,243.4021968
151.5,243.6021968
152,243.8021968
152.5,244.0021968
153,244.2021968
153.5,244.4021968
154,244.4165223
154.5,244.2165223
155,244.4165223
155.5,244.6165223
156,244.8165223
156.5,245.0165223
157,244.8165223
157.5,245.0165223
